Publisher,Contributor,ScanningCenter,Barcode,CopyrightOwner,Rights,Author2,Author1,                           Year,Pages,DigitalPublisher,CopyrightExpiredDate1,Url,Identifier,NumberPages,Vendor,Subject,                           Format,DigitalPublisherDate,UnnumberedPages,ScannerNo,Link,Title,Language
Vijaya Saahitya,,rmsc; iiith ,2030020028218,,OUT_OF_COPYRIGHT,,,1952 ,62,Digital Library Of India,,/data7/upload/0198/221,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/221&first=1&last=62&barcode=2030020028218,Aadarshada Aadanbara,kannada
Adyathma Prakashana Karyalayam;  Holinarsipur,,rmsc; iiith ,5010010017448,,OUT_OF_COPYRIGHT,,shrii shrii sachchidaanandeidrasarasvati svaamigalavaru,1896 ,131,Digital Library Of India,,/data7/upload/0199/456,,,NONE,RELIGION. THEOLOGY,Tagged Image File Format ,2005-09-02,,0,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/456&first=1&last=131&barcode=5010010017448,aadhyaatmagitaava kramata 31,kannada
Jiivana Kaaryaalaya,,rmsc; iiith ,2030020028970,,OUT_OF_COPYRIGHT,,,1955 ,277,Digital Library Of India,,/data7/upload/0198/821,,259,til,GENERALITIES,Tagged Image File Format ,,13,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/821&first=1&last=277&barcode=2030020028970,Aadikavi Vaalmiiki,kannada
Pan'chaachaarya Elekt'rik Pres,,rmsc; iiith ,2030020029642,,OUT_OF_COPYRIGHT,,,1946 ,501,Digital Library Of India,,/data7/upload/0199/414,,471,til,PHILOSOPHY. PSYCHOLOGY,Tagged Image File Format ,,45,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/414&first=1&last=501&barcode=2030020029642,Aadipuraand-an 41,kannada
Preima Vidyaapiit'ha,,rmsc; iiith ,2030020029000,,OUT_OF_COPYRIGHT,,,1933 ,322,Digital Library Of India,,/data7/upload/0198/843,,291,til,TECHNOLOGY,Tagged Image File Format ,,21,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/843&first=1&last=322&barcode=2030020029000,Aahaara Vijaang-ana,kannada
Navya Saahitya Maale,,rmsc; iiith ,2030020028086,,OUT_OF_COPYRIGHT,,,1952 ,190,Digital Library Of India,,/data7/upload/0198/103,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/103&first=1&last=190&barcode=2030020028086,Aakaasha Diipa 2,kannada
Prasaad Pablikeishhan's,,rmsc; iiith ,2030020028589,,OUT_OF_COPYRIGHT,,,1955 ,223,Digital Library Of India,,/data7/upload/0198/536,,254,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/536&first=1&last=223&barcode=2030020028589,Aakasmika,kannada
Shaaradaa Prakat'anaalaya,,rmsc; iiith ,2030020028085,,OUT_OF_COPYRIGHT,,,1949 ,176,Digital Library Of India,,/data7/upload/0198/102,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/102&first=1&last=176&barcode=2030020028085,Aaladaralaa 7 8,kannada
Ben'gal'uuru Pres,,rmsc; iiith ,2030020028423,,OUT_OF_COPYRIGHT,,,1930 ,132,Digital Library Of India,,/data7/upload/0198/402,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/402&first=1&last=132&barcode=2030020028423,Aananda Saamraajya,kannada
Bi Ven'kat'aachaarya,,rmsc; iiith ,2030020028487,,OUT_OF_COPYRIGHT,,,1930 ,171,Digital Library Of India,,/data7/upload/0198/455,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/455&first=1&last=171&barcode=2030020028487,Aanandamatha,kannada
Ta Su Van' Smaaraka Gran'thamaale,,rmsc; iiith ,2030020029599,,OUT_OF_COPYRIGHT,,,1951 ,353,Digital Library Of India,,/data7/upload/0199/374,,235,til,GENERALITIES,Tagged Image File Format ,,60,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/374&first=1&last=353&barcode=2030020029599,Aanandavardhanana Kaavyamiimaanse,kannada
En Ra Ubhaya,,rmsc; iiith ,2030020028060,,OUT_OF_COPYRIGHT,,,1930 ,141,Digital Library Of India,,/data7/upload/0198/086,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/086&first=1&last=141&barcode=2030020028060,Aaroogya Prataapa,kannada
Surein'dra Shivaraava Deisaayi,,rmsc; iiith ,2030020029287,,OUT_OF_COPYRIGHT,,,1946 ,622,Digital Library Of India,,/data7/upload/0199/100,,570,til,RELIGION. THEOLOGY,Tagged Image File Format ,,30,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/100&first=1&last=622&barcode=2030020029287,Aaryadharma Pradiipa,kannada
Pratibhaa Gran'tha Maale,,rmsc; iiith ,2030020028594,,OUT_OF_COPYRIGHT,,,1952 ,97,Digital Library Of India,,/data7/upload/0198/540,,90,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/540&first=1&last=97&barcode=2030020028594,Aashaa Baalu 5,kannada
St'aan'd'ard'a Buk D'ipoo,,rmsc; iiith ,2030020028402,,OUT_OF_COPYRIGHT,,,1955 ,304,Digital Library Of India,,/data7/upload/0198/381,,,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/381&first=1&last=304&barcode=2030020028402,Aashiirvaada,kannada
Manoohara Gran'tha Prakaashana Samiti,,rmsc; iiith ,2030020029398,,OUT_OF_COPYRIGHT,,,1942 ,82,Digital Library Of India,,/data7/upload/0199/196,,59,til,GENERALITIES,Tagged Image File Format ,,20,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0199/196&first=1&last=82&barcode=2030020029398,Aashunaatakagalu,kannada
Min'china Bal'l'i Chaavad'i,,rmsc; iiith ,2030020028781,,OUT_OF_COPYRIGHT,,,1952 ,287,Digital Library Of India,,/data7/upload/0198/690,,273,til,GENERALITIES,Tagged Image File Format ,,,,http://www.new1.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data7/upload/0198/690&first=1&last=287&barcode=2030020028781,Aastika,kannada
