Contributor/Author,Date Accessioned,Date Available,Date Issued,Link,Publisher,Rights,Subjects,Title,Filename,FileSize,Category,Language
Viirabhadra Hittilamane,2010-08-10T10:17:20Z,2010-08-10T10:17:20Z,1950/02/16,http://oudl_osmania_ac_in/handle/OUDL/4468,Maadhava Ballaal'a Ban'dhugal'u,IN_COPYRIGHT,GENERALITIES;Polygraphies;Collective works,Divya Preima,200600_OU_Divya_Preima.pdf,3.580Mb,Publications,Kannada
Shreinivaasa,2010-08-10T10:33:16Z,2010-08-10T10:33:16Z,1947/02/17,http://oudl_osmania_ac_in/handle/OUDL/4631,Jiivana Kaaryaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Binnaha,200692_OU_Binnaha.pdf,16.43Mb,Publications,Kannada
Kaamat Em En',2010-08-10T09:56:57Z,2010-08-10T09:56:57Z,1918//,http://oudl_osmania_ac_in/handle/OUDL/4208,Em En' Kaamat,OUT_OF_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Kamalakumaari,200137_OU_Kamalakumaari.pdf,4.389Mb,Publications,Kannada
Raav Ech Pi Ven'kat'a,2010-08-10T10:33:17Z,2010-08-10T10:33:17Z,1950/00/00,http://oudl_osmania_ac_in/handle/OUDL/4632,Karnd-aat'aka Saahitya Man'dira,IN_COPYRIGHT,RELIGION;THEOLOGY,Rxgveida San'hitaa Bhaaga 11,200729_OU_Rxgveida_San'hitaa_Bhaaga_11.pdf,70.31Mb,Publications,Kannada
Krxshhnd-a Si,2010-08-10T08:44:37Z,2010-08-10T08:44:37Z,1945//,http://oudl_osmania_ac_in/handle/OUDL/3228,Kaavyaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Mugudayara Patragal'u,198360_OU_Mugudayara_Patragal'u.pdf,8.475Mb,Publications,Kannada
Kulakarand-i Naaraayand-araaya,2010-08-10T08:44:39Z,2010-08-10T08:44:39Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3229,Naaraayand-araaya Kulakarand-i,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Jiivana Charitre,198368_OU_Jiivana_Charitre.pdf,57.72Mb,Publications,Kannada
Giirvaand-i,2010-08-10T08:44:39Z,2010-08-10T08:44:39Z,1953//,http://oudl_osmania_ac_in/handle/OUDL/3230,Ashuuka Saahitya,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Drama;Plays,Shheiksaapiyaraa Naat'aka Kathegal'u,198282_OU_Shheiksaapiyaraa_Naat'aka_Kathegal'u.pdf,13.07Mb,Publications,Kannada
Puujaara Ma Pra,2010-08-10T08:44:39Z,2010-08-10T08:44:39Z,1928//,http://oudl_osmania_ac_in/handle/OUDL/3231,Ma Pra Puujaara,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bhiishhmaachaarya 85,198389_OU_Bhiishhmaachaarya_85.pdf,4.866Mb,Publications,Kannada
Aiyan'gaaraa Maasti Ven'kat'eisha,2010-08-10T08:44:40Z,2010-08-10T08:44:40Z,1912//,http://oudl_osmania_ac_in/handle/OUDL/3232,Maasti Ven'kat'eisha Aiyan'gaaraa,OUT_OF_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Saahitya,198394_OU_Saahitya.pdf,8.764Mb,Publications,Kannada
Mahishhi Saroojani,2010-08-10T10:33:18Z,2010-08-10T10:33:18Z,1953/02/18,http://oudl_osmania_ac_in/handle/OUDL/4633,Karnaat'aka T'eilarin'ga Kaaleija,IN_COPYRIGHT,THE ARTS;Drawing;Design  applied arts and crafts,Kasuuti Kale,200704_OU_Kasuuti_Kale.pdf,11.12Mb,Publications,Kannada
Kaaran'ta Shivaraama,2010-08-10T08:44:40Z,2010-08-10T08:44:40Z,1941//,http://oudl_osmania_ac_in/handle/OUDL/3233,Preima Prakat'anaalaya,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Chikkadod'd'avaru,198392_OU_Chikkadod'd'avaru.pdf,5.281Mb,Publications,Kannada
And-nd-aaraayaru Mirji,2010-08-10T08:44:40Z,2010-08-10T08:44:40Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3234,Seivaa Sadana,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bhaaratada Bel'aku,198347_OU_Bhaaratada_Bel'aku.pdf,8.005Mb,Publications,Kannada
Ven'kat'aKrxshhnd-ayya,2010-08-10T08:44:41Z,2010-08-10T08:44:41Z,1916//,http://oudl_osmania_ac_in/handle/OUDL/3235,Ven'kat'aKrxshhnd-ayya,OUT_OF_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Arthasaadhana,198290_OU_Arthasaadhana.pdf,6.974Mb,Publications,Kannada
Chidan'barayya Kii Shei Yosakere,2010-08-10T08:44:41Z,2010-08-10T08:44:41Z,1941//,http://oudl_osmania_ac_in/handle/OUDL/3236,Karnaat'aka Shiqs-and-a Samiti,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Bharatakhan'd'ada Jiivajyotigal'u,198327_OU_Bharatakhan'd'ada_Jiivajyotigal'u.pdf,18.20Mb,Publications,Kannada
Sharma Naaga,2010-08-10T09:56:59Z,2010-08-10T09:56:59Z,1915//,http://oudl_osmania_ac_in/handle/OUDL/4210,T'a Ke Krxshhnd-asvaamiset't'a,OUT_OF_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Areibiryanait'sa Kathegal'u,200192_OU_Areibiryanait'sa_Kathegal'u.pdf,68.56Mb,Publications,Kannada
Raamaanujayyan'gaara Mn' Aa,2010-08-10T10:33:19Z,2010-08-10T10:33:19Z,1914/02/17,http://oudl_osmania_ac_in/handle/OUDL/4634,Mn' Aa Raamaanujayyan'gaara,OUT_OF_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Neimichan'dra Neimanaatha Puraand-an' 44,200697_OU_Neimi ... anaatha_Puraand-an'_44.pdf,14.35Mb,Publications,Kannada
Shaamaraav T'a Es,2010-08-10T08:44:42Z,2010-08-10T08:44:42Z,1955//,http://oudl_osmania_ac_in/handle/OUDL/3237,Maisuuru Vishvavidyaanilaya,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Linguistics and languages;General linguistics,Bharateishavaibhava San'graha,198302_OU_Bharateishavaibhava_San'graha.pdf,26.65Mb,Publications,Kannada
Vad'avi Raa Ve,2010-08-10T08:44:43Z,2010-08-10T08:44:43Z,1942//,http://oudl_osmania_ac_in/handle/OUDL/3238,Charakhaa Jayan'ti,IN_COPYRIGHT,GENERALITIES;General reference works Encyclopaedias,Khaadi Darshana,198295_OU_Khaadi_Darshana.pdf,4.587Mb,Publications,Kannada
Raamaraav Yan',2010-08-10T08:44:44Z,2010-08-10T08:44:44Z,1927//,http://oudl_osmania_ac_in/handle/OUDL/3239,Suboodha Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kusumaan'jali Suboodha Gran'tha Maale 11,198411_OU_Kusum ... odha_Gran'tha_Maale_11.pdf,33.07Mb,Publications,Kannada
Viiranagaud'aru,2010-08-10T08:44:44Z,2010-08-10T08:44:44Z,1941//,http://oudl_osmania_ac_in/handle/OUDL/3240,Channappa Parappa Maal'ashet't'a,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;Biographical and related studies;Biography,Saalaarajan'ga Bahadduura Aivara Charitre,198380_OU_Saala ... dduura_Aivara_Charitre.pdf,13.49Mb,Publications,Kannada
Honnaapuramat'ha Ga Ha,2010-08-10T08:44:44Z,2010-08-10T08:44:44Z,1929//,http://oudl_osmania_ac_in/handle/OUDL/3241,Ga Ha Honnaapuramat'ha,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Chillaal'a Charitra 2,198317_OU_Chillaal'a_Charitra_2.pdf,1.255Mb,Publications,Kannada
Krxshhnd-asharmaru Siddappanahal'l'i,2010-08-10T08:44:45Z,2010-08-10T08:44:45Z,1940//,http://oudl_osmania_ac_in/handle/OUDL/3242,Chaalukya Vikrama Varushha,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Diipamaale,198271_OU_Diipamaale.pdf,10.21Mb,Publications,Kannada
Shreinivaasa,2010-08-10T09:57:00Z,2010-08-10T09:57:00Z,1935//,http://oudl_osmania_ac_in/handle/OUDL/4211,Karnd-aat'aka Buk D'ipoo,IN_COPYRIGHT,GENERALITIES;Bibliography and bibliographies Catalogues,Subband-nd-a,200284_OU_Subband-nd-a.pdf,6.198Mb,Publications,Kannada
Raamaraav Yan',2010-08-10T08:44:45Z,2010-08-10T08:44:45Z,1932//,http://oudl_osmania_ac_in/handle/OUDL/3243,Subhoodha Prakat'anaalaya,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Diliipa Mahaaraaja,198386_OU_Diliipa_Mahaaraaja.pdf,4.189Mb,Publications,Kannada
Ad'iga En' Gopaalakrxshhnd-a,2010-08-10T08:44:45Z,2010-08-10T08:44:45Z,1947//,http://oudl_osmania_ac_in/handle/OUDL/3244,Kaavyaalaya,IN_COPYRIGHT,LANGUAGE;LINGUISTICS;LITERATURE;Literature;Poetry;Poems;Verse,Bhaavataran'ga Kaavyamaale 56,198312_OU_Bhaavataran'ga_Kaavyamaale_56.pdf,3.072Mb,Publications,Kannada
Maadhava Buliibin'du,2010-08-10T08:44:46Z,2010-08-10T08:44:46Z,1946//,http://oudl_osmania_ac_in/handle/OUDL/3245,Bi Ji Avadhaani,IN_COPYRIGHT,GEOGRAPHY;BIOGRAPHY;HISTORY;History_Science of history;Ancillary sciences;General history;History as a science;Theory and philosophy of history,Kan'naad'a Saahityajang-ara Atmakathana,198314_OU_Kan'n ... yajang-ara_Atmakathana.pdf,14.19Mb,Publications,Kannada
Nan'jun'd'ayya Vai,2010-08-10T08:44:46Z,2010-08-10T08:44:46Z,1919//,http://oudl_osmania_ac_in/handle/OUDL/3246,Vai Nan'jun'd'ayya,OUT_OF_COPYRIGHT,GENERALITIES;Manuscripts;Rare and remarkable works,Leikhyabhoodhini,198374_OU_Leikhyabhoodhini.pdf,7.337Mb,Publications,Kannada
