category	total_number	Kannada
NULL	2534	ಲಭ್ಯವಿಲ್ಲ
Bhagavadgita	2	ಭಗವದ್ಗೀತೆ
GENERALITIES	526	ಸಾಮಾನ್ಯ
Geography	1	ಭೂಗೋಳ ಶಾಸ್ತ್ರ
BIOGRAPHY		ಜೀವನ ಚರಿತ್ರೆ
HISTORY		ಇತಿಹಾಸ
GEOGRAPHY	14	ಭೂಗೋಳ ಶಾಸ್ತ್ರ
Hinduism	2	ಹಿಂದೂಧರ್ಮ
History	1	ಇತಿಹಾಸ
LITERATURE		ಭಾಷಾಶಾಸ್ತ್ರ
LINGUISTICS		ಸಾಹಿತ್ಯ
LANGUAGE	24	ಭಾಷೆ
Literature	9	ಸಾಹಿತ್ಯ
Mahabharata	1	ಮಹಾಭಾರತ
Music	6	ಸಂಗೀತ
NATURAL SCIENCES	12	ನೈಸರ್ಗಿಕ ವಿಜ್ಞಾನ
Philosophy	4	ತತ್ವಶಾಸ್ತ್ರ
PHILOSOPHY. PSYCHOLOGY	29	ತತ್ವಶಾಸ್ತ್ರ, ಮನಃಶಾಸ್ತ್ರ
Ramayana	1	ರಾಮಾಯಣ
Ramayanam	1	ರಾಮಾಯಣಂ
Religion	2	ಧರ್ಮ
RELIGION. THEOLOGY	30	ಧರ್ಮ, ಧರ್ಮಶಾಸ್ತ್ರ
Saivism	1	ಶೈವ ಸಿದ್ಧಾಂತ
Sakitism	1	ಶಕ್ತಿ ಸಿದ್ಧಾಂತ
SOCIAL SCIENCES	45	ಸಮಾಜ ವಿಜ್ಞಾನ
Spiritual Experience in Mysticism	1	ಅಧ್ಯಾತ್ಮಜ್ಞಾನದಲ್ಲಿ ಅನುಭವ
TECHNOLOGY	17	ತಂತ್ರಜ್ಞಾನ
THE ARTS	6	ಕಲೆ
Tirumoli	1	ತಿರುಮೊಳಿ
Tiruppavai	1	ತಿರುಪ್ಪವೈ
Tiruvaimozi	1	ತಿರುವೈಮೊಜಿ (ತಿರುವೈಮೊಳಿ)
