Category,Kannada
GENERALITIES,ಸಾಮಾನ್ಯ
Bibliography and bibliographies Catalogues,ಗ್ರಂಥಸೂಚಿ ಮತ್ತು ಗ್ರಂಥಸೂಚಿಗಳ ವಿಷಯಪಟ್ಟಿ
General reference works Encyclopaedias,"ಸಾಮಾನ್ಯ ಉಲ್ಲೇಖ ಗ್ರಂಥಗಳು,  ವಿಶ್ವಕೋಶ"
Manuscripts,ಹಸ್ತಪ್ರತಿಗಳು
Newspapers,ವೃತ್ತಪತ್ರಿಕೆಗಳು
Organizations and other types of cooperation,ಇತರೆ ತರಹದ ಸಹಕಾರ ಮತ್ತು ಸಂಸ್ಥೆಗಳು
Polygraphies,ಪೊಲಿಗ್ರಾಫೀಸ್
Prolegomena,ಪ್ರೊಲೆಗೊಮಿನ
Serial publications Periodicals their function  business and editiorial management,ಸರಣಿ ಪ್ರಕಾಶನಗಳು ನಿಯತಕಾಲಿಕಗಳ ಸಂಪಾದಕೀಯ ನಿರ್ವಹಣೆ ಮತ್ತು ವ್ಯವಹಾರಗಳು
GEOGRAPHY,ಭೂಗೋಳ ಶಾಸ್ತ್ರ
HISTORY,ಇತಿಹಾಸ
BIOGRAPHY,ಜೀವನ ಚರೀತ್ರೆ
LINGUISTICS,ಭಾಷಾಶಾಸ್ತ್ರ
LANGUAGE,ಭಾಷೆ
Languages,ಭಾಷೆಗಳು
PHILOSOPHY,ತತ್ವಶಾಸ್ತ್ರ
PSYCHOLOGY,ಮನಃಶಾಸ್ತ್ರ
THEOLOGY,ಧರ್ಮಶಾಸ್ತ್ರ
Rare and remarkable works,ಅಪೂರ್ವ ಮತ್ತು ಗಮನಾರ್ಹ ಗ್ರಂಥಗಳು
LITERATURE,ಸಾಹಿತ್ಯ
NATURAL SCIENCES,ನೈಸರ್ಗಿಕ ವಿಜ್ಞಾನಗಳು
Astronomy,ಖಗೋಳಶಾಸ್ತ್ರ
Biological sciences in general,ಸಾಮಾನ್ಯ ಜೀವವಿಜ್ಞಾನಗಳು
Chemistry,ರಸಾಯನಶಾಸ್ತ್ರ
Earth sciences,ಭೂವಿಜ್ಞಾನಗಳು
Generalities about the pure sciences,ಶುದ್ಧ ವಿಜ್ಞಾನದ ಸಾಧಾರಣತೆಗಳ ಬಗ್ಗೆ
Mathematics,ಗಣಿತ
Physics,ಭೌತಶಾಸ್ತ್ರ
Zoology,ಪ್ರಾಣಿಶಾಸ್ತ್ರ
RELIGION,ಧರ್ಮ
SOCIAL SCIENCES,ಸಮಾಜ ವಿಜ್ಞಾನ
TECHNOLOGY,ತಂತ್ರಜ್ಞಾನ
THE ARTS,ಕಲೆಗಳು
Education,ಶಿಕ್ಷಣ
Law,ಕಾನೂನು
Politics,ರಾಜಕೀಯ
Public administration,ಸಾರ್ವಜನಿಕ ಆಡಳಿತ
Social Welfare,ಸಮಾಜ ಕಲ್ಯಾಣ
Agriculture and related sciences and techniques,ಕೃಷಿ ವಿಜ್ಞಾನ ಮತ್ತು ಸಂಬಂಧಿತ ತಂತ್ರಜ್ಞಾನಗಳು
Biotechnology,ಜೈವಿಕ ತಂತ್ರಜ್ಞಾನ
Industries crafts and trades for finished or assembled articles,ಜೋಡಿಸಿದ ಅಥವಾ ಪೂರ್ಣಗೊಳಿಸಿದ ಕಾರ್ಖಾನೆಯ ಸಿದ್ಧ ವಸ್ತುಗಳು
Medical sciences,ವೈಧ್ಯಕೀಯ ವಿಜ್ಞಾನ
Drawing,ರೇಖಾಚಿತ್ರ
Music,ಸಂಗೀತ
Painting,ಚಿತ್ರಕಲೆ
Recreation,ವಿಹಾರ
Games,ಆಟಗಳು
Entertainement,ಮನೋರಂಜನೆ
Sport,ಕ್ರೀಡೆ
Design  applied arts and crafts,"ವಿನ್ಯಾಸ, ಆನ್ವಯಿಕ ಕಲೆ ಮತ್ತು ಕುಶಲ ಕಲೆಗಳು"
Clothing industry,ಬಟ್ಟೆ ಉದ್ಯಮ
Garment manufacture,ಉಡುಪು ತಯಾರಿಕೆ
Beauty culture,ಸೌಂದರ್ಯ ಸಂಸ್ಕೃತಿ
The press,ಪತ್ರಿಕೆಗಳು
Associations,ಸಂಘಗಳು
Collective works,ಸಾಮೂಹಿಕ ಕಾರ್ಯಗಳು
Fundamentals of knowledge and culture,ಸಂಸ್ಕೃತಿ ಮತ್ತು ಜ್ಞಾನದ ಮೂಲಭೂತ ತತ್ವಗಳು
Forestry,ಅರಣ್ಯ ಶಾಸ್ತ್ರ
Farming,ಬೇಸಾಯ
Wildlife exploitation,ವನ್ಯಜೀವಿಗಳ ಶೋಷಿಣೆ
Exploration,ಅನ್ವೇಷಣೆ
General history,ಸಾಮಾನ್ಯ ಇತಿಹಾಸ
Biographical and related studies,ಜೀವನಚರೀತ್ರೆ ಮತ್ತು ಸಂಬಂಧಿತ ಅಧ್ಯಯನಗಳು
Linguistics and languages,ಭಾಷಾಶಾಸ್ತ್ರ ಮತ್ತು ಭಾಷೆಗಳು
History_Science of history,ಇತಿಹಾಸದ ವಿಜ್ಞಾನ
Ancillary sciences,ಪೂರಕ ವಿಜ್ಞಾನಗಳು
General linguistics,ಸಾಮಾನ್ಯ ಭಾಷಾಶಾಸ್ತ್ರ
Philosophical systems,ತತ್ವಶಾಸ್ತ್ರದ ಪದ್ಧತಿಗಳು
Philosophy of mind,ಮನಸ್ಸಿನ ತತ್ವಶಾಸ್ತ್ರ
Psychology,ಮನಃಶಾಸ್ತ್ರ
Religions of the Indian subcontinent,ಭಾರತ ಉಪಖಂಡದ ಧರ್ಮಗಳು
Jurisprudence,ನ್ಯಾಯಶಾಸ್ತ್ರ
Journalism,ಪತ್ರಿಕೋದ್ಯಮ
Congresses,ಮಹಾಸಭೆಗಳು
Exhibitions_Museums,ವಸ್ತು ಸಂಗ್ರಹಾಲಯ ಪ್ರದರ್ಶನಗಳು
History of individual places,ಪ್ರತ್ಯೇಕವಾದ ಸ್ಥಳಗಳ ಇತಿಹಾಸ
General geography_Systematic geography,ಸಾಮಾನ್ಯ ಭೂಗೋಳ ಶಾಸ್ತ್ರ_ವ್ಯವಸ್ಥಿತವಾದ ಭೂಗೋಳ ಶಾಸ್ತ್ರ
Physical  human  theoretical geography etc,ಭೌತಿಕ ಸೈದ್ಧಾಂತಿಕ ಮಾನವ ಭೂಗೋಳ ಶಾಸ್ತ್ರ
Astrophysics,ಖಭೌತಶಾಸ್ತ್ರ
Mineralogy,ಖನಿಜಶಾಸ್ತ್ರ
Crystallography,ಕ್ರಿಸ್ಟಲೋಗ್ರಫಿ
Geology meteorology etc,ಭೂಗರ್ಭಶಾಸ್ತ್ರ ವಾಯುಲಕ್ಷಣಶಾಸ್ತ್ರ
Drama,ನಾಟಕ
Literary forms,ಸಾಹಿತ್ಯ ಪ್ರಕಾರಗಳು
Science of history,ಇತಿಹಾಸ ವಿಜ್ಞಾನ
Poetry,ಕಾವ್ಯ
Theory and philosophy of history,ಚರಿತ್ರ ರಚನೆಯ ಸಿದ್ಧಾಂತಗಳು ಮತ್ತು ತಾತ್ವಿಕತೆ
Ancillary historical sciences,ಪೂರಕವಾದ ಐತಿಹಾಸಿಕ ವಿಜ್ಞಾನಗಳು
Space research_Geodesy,ಖಗೋಳ ಸಂಶೋಧನೆ_ಜಿಯೊಡೆಸಿ
Plays,ನಾಟಕಗಳು
Genres,ಪ್ರಕಾರಗಳು
Verse,ಪದ್ಯ
Poems,ಕವನಗಳು
Psychophysiology (physiological psychology),ಶರೀರ ವಿಜ್ಞಾನದ ಮನಃಶಾಸ್ತ್ರ
Mental physiology,ಮಾನಸಿಕ ಶರೀರ ವಿಜ್ಞಾನ
Hinduism narrowly,ಸಂಕುಚಿತವಾಗಿ ಹಿಂದುತ್ವ
History as a science,ವಿಜ್ಞಾನವಾಗಿ ಇತಿಹಾಸ
Computer science,ಗಣಕ ವಿಜ್ಞಾನ
