Title,Author,Link,ReadOnline,BarCode,Year,FileFormat,Publisher,Source,DigitalPublisher,PublicationDate,ScanningCenter,Language,TotalPages,
1980_July_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2040100074067,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/072&first=1&last=44&barcode=2040100074067,2040100074067,1980,TIFF,T.T.D._Publications_Tirupati,T.T.D.SVCL,SVDL TTD TIRUPATI,0000-00-00,ttd; s.v digital library,kannada ,44,
1981_April_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074073,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/078&first=1&last=40&barcode=2990100074073,2990100074073,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,40,
1981_August_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074074,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/079&first=1&last=43&barcode=2990100074074,2990100074074,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,43,
1981_December_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074075,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/080&first=1&last=43&barcode=2990100074075,2990100074075,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,43,
1981_February_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074076,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/081&first=1&last=47&barcode=2990100074076,2990100074076,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,47,
1981_January_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074077,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/082&first=1&last=44&barcode=2990100074077,2990100074077,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,44,
1981_July_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074078,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/083&first=1&last=45&barcode=2990100074078,2990100074078,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,45,
1981_June_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074079,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/084&first=1&last=38&barcode=2990100074079,2990100074079,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,38,
1981_March_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074080,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/085&first=1&last=42&barcode=2990100074080,2990100074080,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,42,
1981_May_Sapthagiri_kannada,K.Subbarao,http://www.new.dli.ernet.in/cgi-bin/DBscripts/allmetainfo.cgi?barcode=2990100074081,http://www.new.dli.ernet.in/scripts/FullindexDefault.htm?path1=/data_copy/upload/0074/086&first=1&last=43&barcode=2990100074081,2990100074081,1981,TIFF,T.T.D_Publications,SVCLRC,SVDL,0000-00-00,ttd; s.v digital library,kannada ,43,
