identifier,file,mediatype,collection,title,creator,publisher,language,description,contributor,date,subject[0],subject[1],subject[3],licenseurl,scanner,source
Aadarshada-Aadanbara-1952,Aadarshada-Aadanbara.pdf,texts,opensource,ಆದರ್ಶದ ಆಡಂಬರ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadarshada-Aadanbara,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364617
Aadikavi-Vaalmiiki-1955,Aadikavi-Vaalmiiki.pdf,texts,opensource,ಆದಿಕವಿ ವಾಲ್ಮೀಕಿ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadikavi-Vaalmiiki,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362985
Aadipuraand-an-41-1946,Aadipuraand-an-41.pdf,texts,opensource,ಆದಿಪುರಾಣ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aadipuraand-an-41,Digital Library of India,1946,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363643
Aahaara-Vijaang-ana-1933,Aahaara-Vijaang-ana.pdf,texts,opensource,ಆಹಾರ ವಿಜ್ಞಾನ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aahaara-Vijaang-ana,Digital Library of India,1933,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363010
Aakaasha-Diipa-1952,Aakaasha-Diipa.pdf,texts,opensource,ಆಕಾಶದೀಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aakaasha-Diipa,Digital Library of India,1952,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364486
Aakasmika-1955,Aakasmika.pdf,texts,opensource,ಆಕಸ್ಮಿಕ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aakasmika,Digital Library of India,1955,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362670
Aaladaralaa-7-1949,Aaladaralaa-7.pdf,texts,opensource,ಆಲದ ಹೂ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aaladaralaa-7,Digital Library of India,1949,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364485
Aanandamatha-1930,Aanandamatha.pdf,texts,opensource,ಆನಂದಮಾತಾ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aanandamatha,Digital Library of India,1930,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/362579
Aanandavardhanana-Kaavyamiimaanse-1951,Aanandavardhanana-Kaavyamiimaanse.pdf,texts,opensource,ಆನಂದವರ್ಧನ ಕಾವ್ಯಮೀಮಾಂಸೆ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aanandavardhanana-Kaavyamiimaanse,Digital Library of India,1951,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/363599
Aaroogya-Prataapa-1930,Aaroogya-Prataapa.pdf,texts,opensource,ಆರೋಗ್ಯ ಪ್ರತಾಪ,ಪಾನ್ಯಂ ಸುಂದರಶರ್ಮ,ಸಕಲ ಸ್ವಾತಂತ್ರ್ಯ,kan,Aaroogya-Prataapa,Digital Library of India,1930,Kannada,Old Kannada Books,Scanned Kannada Books of DLI,http://creativecommons.org/publicdomain/mark/1.0/,RMSC- IIIT-H,http://www.dli.ernet.in/handle/2015/364468
