Commons_link,Kannada_Wikisource_link
https://commons.wikimedia.org/wiki/File:ಆಯುರ್ವೇದಸಾರ ಪ್ರಥಮ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ಆಯುರ್ವೇದಸಾರ ಪ್ರಥಮ ಭಾಗ.djvu
https://commons.wikimedia.org/wiki/File:ಸುಭದ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸುಭದ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಅಕ್ಬರ್ ಬೀರಬಲ ಚಾತುರ್ಯವಾದ ವಿನೋದ ಕಥೆಗಳು.djvu,https://kn.wikisource.org/wiki/Index:ಅಕ್ಬರ್ ಬೀರಬಲ ಚಾತುರ್ಯವಾದ ವಿನೋದ ಕಥೆಗಳು.djvu
https://commons.wikimedia.org/wiki/File:ಅಖಂಡೇಶ್ವರ ವಚನಶಾಸ್ತ್ರ.djvu,https://kn.wikisource.org/wiki/Index:ಅಖಂಡೇಶ್ವರ ವಚನಶಾಸ್ತ್ರ.djvu
https://commons.wikimedia.org/wiki/File:ಅಜಿತ ಕುಮಾರ.djvu,https://kn.wikisource.org/wiki/Index:ಅಜಿತ ಕುಮಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಅದ್ಭುತ ರಾಮಾಯಣ.djvu,https://kn.wikisource.org/wiki/Index:ಅದ್ಭುತ ರಾಮಾಯಣ.djvu
https://commons.wikimedia.org/wiki/File:ಅಪ್ರತಿಮ ವೀರ ಚರಿತಂ.djvu,https://kn.wikisource.org/wiki/Index:ಅಪ್ರತಿಮ ವೀರ ಚರಿತಂ.djvu
https://commons.wikimedia.org/wiki/File:ಅಬಲಾ ಸಚ್ಚರಿತ್ರ ರತ್ನಮಾಲೆ.djvu,https://kn.wikisource.org/wiki/Index:ಅಬಲಾ ಸಚ್ಚರಿತ್ರ ರತ್ನಮಾಲೆ.djvu
https://commons.wikimedia.org/wiki/File:ಅಭಿನವದಶಕುಮಾರಚರಿತೆ ಸಂಪುಟ ೧.djvu,https://kn.wikisource.org/wiki/Index:ಅಭಿನವದಶಕುಮಾರಚರಿತೆ ಸಂಪುಟ ೧.djvu
https://commons.wikimedia.org/wiki/File:ಅಭಿನವದಶಕುಮಾರಚರಿತೆ.djvu,https://kn.wikisource.org/wiki/Index:ಅಭಿನವದಶಕುಮಾರಚರಿತೆ.djvu
https://commons.wikimedia.org/wiki/File:ಅರೇಬಿಯನ್ ನೈಟ್ಸ್ ಕತೆಗಳು.djvu,https://kn.wikisource.org/wiki/Index:ಅರೇಬಿಯನ್ ನೈಟ್ಸ್ ಕತೆಗಳು.djvu
https://commons.wikimedia.org/wiki/File:ಅರ್ಥಸಾಧನ.djvu,https://kn.wikisource.org/wiki/Index:ಅರ್ಥಸಾಧನ.djvu
https://commons.wikimedia.org/wiki/File:ಅಶೋಕ.djvu,https://kn.wikisource.org/wiki/Index:ಅಶೋಕ.djvu
https://commons.wikimedia.org/wiki/File:ಆದಿಶೆಟ್ಟಿಪುರಾಣವು.djvu,https://kn.wikisource.org/wiki/Index:ಆದಿಶೆಟ್ಟಿಪುರಾಣವು.djvu
https://commons.wikimedia.org/wiki/File:ಇಂದ್ರಕೀಲ ವಿಜಯ.djvu,https://kn.wikisource.org/wiki/Index:ಇಂದ್ರಕೀಲ ವಿಜಯ.djvu
https://commons.wikimedia.org/wiki/File:ಇಂದ್ರವಜ್ರ.djvu,https://kn.wikisource.org/wiki/Index:ಇಂದ್ರವಜ್ರ.djvu
https://commons.wikimedia.org/wiki/File:ಉನ್ಮಾದಿನಿ.djvu,https://kn.wikisource.org/wiki/Index:ಉನ್ಮಾದಿನಿ.djvu
