uri,title,author,avail_date,digi_pub_date,citation_date,description,pages,language,publisher,rights,classification,keywords,keywords,en_title
http://dli.ernet.in/kanaja/handle/2015/554068,ಉತ್ತರ ಕರ್ನಾಟಕದ ಜನಪದ ಕಥೆಗಳು,ಸಿಂಪಿ ಲಿಂಗಣ್ಣ,2017-02-16T11:23:22Z,27-01-2017,24/01/2011,"ಒಂದೂರಲ್ಲಿ ಒಬ್ಬ ರಾಜ, ಒಬ್ಬ ಪ್ರಧಾನಿ, ಒಬ್ಬ ಸಾಹುಕಾರ ಇದ್ದರು. ಆ ಮೂವರಿಗೂ ಒಬ್ಬೊಬ್ಬರಂತೆ ಗಂಡಸು ಮಕ್ಕಳಿದ್ದರು. ಅವರೆಲ್ಲರೂ ಸಾಲೆ ಬರೆಯುತ್ತಿದ್ದರು.",228,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಜನಪದ ಕಥೆಗಳು,ಉತ್ತರ ಕರ್ನಾಟಕದ ಜನಪದ ಕಥೆಗಳು,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Uttara Karnatakada Janapada Kategalu
http://dli.ernet.in/kanaja/handle/2015/554070,ಕದಳಿಯ ಕರ್ಪುರ,ಡಾ.ಎಚ್ .ತಿಪ್ಪೇರುದ್ರಸ್ವಾಮಿ,2017-02-16T11:23:26Z,27-01-2017,24/01/2011,"""ಶ್ರೀಶೈಲದಿಂದ ಗುರುಗಳು ಬಂದಿದ್ದಾರೆ"" ಎಂಬ ಮಾತು ಮಹಾದೇವಿಯ ಕಿವಿಗೆ ಅಮೃತವನ್ನೂಡಿಸಿದಂತಾಯಿತು.ಅದನ್ನೇ ಮತ್ತೆ ಮತ್ತೆ ಜಪಿಸುತ್ತಾ ಮನೆಯ ಕಡೆಗೆ ಓಡಿದಳು, ಗೆಳೆಯರು ಕರೆಯುತ್ತಿರುವುದನ್ನೂ ಲೆಕ್ಕಿಸದೆ.",293,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಕಾದಂಬರಿ,ಕದಳಿಯ ಕರ್ಪುರ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Kadaliya Karpura
http://dli.ernet.in/kanaja/handle/2015/554072,ಕ್ರಾಂತಿ ಕಲ್ಯಾಣ,ಬಿ.ಪುಟ್ಟಸ್ವಾಮಯ್ಯ,2017-02-16T11:23:33Z,27-01-2017,24/01/2011,"ಬಿಜ್ಜಳರಾಯನ ಧರ್ಮಾಧಿಕರಣದ ವಿಚಾರಣೆ ಮುಗಿದು, ನಿರ್ವಾಸನದ ಆಜ್ಞೆ ಪ್ರಚಾರವಾಗಿ, ಬಸವಣ್ಣನವರು ಕಲ್ಯಾಣವನ್ನು ಬಿಟ್ಟ ಆ ಚರಿತ್ರಾರ್ಹವಾದ ದಿನ ಸಂಜೆ, ಆರು ಮಂದಿ ರಾವುತ ಪರಿವಾರದಿಂದ ಕೂಡಿದ ಒಂದು ದೊಡ್ಡ ರಥ ನಗರದ ಸದಾಚಾರಿ ಮಠದ ಪಾಶ್ವದಲ್ಲಿದ್ದ ಪಾಂಥ ನಿವಾಸದ ಎದುರಿಗೆ ನಿಂತಿತು.",504,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಐತಿಹಾಸಿಕ ಕಾದಂಬರಿ,ಕ್ರಾಂತಿ ಕಲ್ಯಾಣ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Kranti Kalyana
http://dli.ernet.in/kanaja/handle/2015/554073,ನಡೆದದ್ದೇ ದಾರಿ,ವೀಣಾ ಶಾಂತೇಶ್ವರ,2017-02-16T11:23:37Z,27-01-2017,24/02/2010,"ಪೋಸ್ಟಾಫೀಸಿನ ಟಾವರ್ ಕ್ಲಾಕಿನಲ್ಲಿ ಏಳು ಗಂಟೆ ಹೊಡೆದ ಸದ್ದು, ಕೊನೆಗೂ ಬೆಳಗಾಯಿತು. ಅಯ್ಯೋ, ಎಷ್ಟು ಬೇಸರ! ಈ ಮಳೆಗಾಲದಲ್ಲಂತೂ ಉದ್ದುದ್ದವಾದ ರಾತ್ರಿಗಳನ್ನು ಕಳೆಯುವುದೆಂದರೆ ಪ್ರಾಣಸಂಕಟ.",542,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಸಂಶೋಧನಾ ಸಾಹಿತ್ಯ,ನಡೆದದ್ದೇ ದಾರಿ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Nadedadde Dari
http://dli.ernet.in/kanaja/handle/2015/554076,ಮನಮಂಥನ,ಡಾ.ಎಂ.ಶಿವರಾಂ,2017-02-16T11:23:44Z,27-01-2017,24/01/2011,ಆತಂಕ ಅತಿಯಾದಾಗ ಅಂತಕನು ಹತ್ತಿರ ಬರುತ್ತಾನೆ ಎನ್ನುವ ನಾಣ್ನುಡಿಯಿದೆ. ಅಕ್ಷರಗಳ ಪಲ್ಲಟದಿಂದಲೇ ಒಂದರ ಮೇಲೆ ಇನ್ನೊಂದರ ಪರಿಣಾಮವನ್ನು ಲಕ್ಷಣವಾಗಿ ಸೂಚಿಸಬಹುದು.,467,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ವಿಮರ್ಶಾ ಸಾಹಿತ್ಯ,ಮನಮಂಥನ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Manamanthana
http://dli.ernet.in/kanaja/handle/2015/554077,ಕವಿರಾಜಮಾರ್ಗಂ,ಎಂ.ವಿ.ಸೀತಾರಾಮಯ್ಯ,2017-02-16T11:23:49Z,24-01-2017,24/01/2011,ಕನ್ನಡ ಸಾಹಿತ್ಯದಲ್ಲಿಯೂ ಕನ್ನಡ ಕಾವ್ಯ ಮೀಮಾಂಸೆಯ ಬೆಳವಣಿಗೆಯಲ್ಲಿಯೂ ಕವಿರಾಜಮಾರ್ಗಕ್ಕೆ ನಾನಾ ಕಾರಣಗಳಿಂದ ಅತ್ಯಂತ ಮಹತ್ತ್ವದ ಸ್ಥಾನವಿದೆ,515,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಮೇರುಕೃತಿ,ಕವಿರಾಜಮರ್ಗಂ ಎಂ.ವಿ.ಸೀತಾರಾಮಯ್ಯ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,Kavirajamargam
http://dli.ernet.in/kanaja/handle/2015/554078,ಮಹಾಕ್ಷತ್ರಿಯ,ದೇವುಡು,2017-02-16T11:23:52Z,28-01-2017,24/01/2011,"ದೇವಾಧೀಶ್ವರನಾದ ಇಂದ್ರನು ಸಚೀಸಮೇತನಾಗಿ ದೇವಸಭೆಯಲ್ಲಿ ಸಿಂಹಾಸನದಲ್ಲಿ ಕುಳಿತು ವಿರಾಜಿಸುತ್ತಿದ್ದಾನೆ. ದೇವತೆಗಳು, ಋಷಿಗಳು ತಮ್ಮ ತಮ್ಮ ಪುಣ್ಯಕರ್ಮಗಳಿಂದ ಸ್ವರ್ಗಲೋಕವನ್ನು ಸಾಧಿಸಿದವರು, ಎಲ್ಲರೂ ಸ್ವಸ್ಥಾನಗಳನ್ನು ಅಲಂಕರಿಸಿದ್ದಾರೆ.",248,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ಪೌರಾಣಿಕ ಕಾದಂಬರಿ,ಮಹಾಕ್ಷತ್ರಿಯ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Mahakshatriya
http://dli.ernet.in/kanaja/handle/2015/554079,ವಾಲ್ಮೀಕಿ ರಾಮಾಯಣ: ಶಾಪ ಮತ್ತು ವರ,ಶ್ರೀಪಾದ ರಘುನಾಥ ಬಿಡೆ,2017-02-16T11:23:56Z,28-01-2017,24/01/2011,"ವೇದೋಪನಿಷತ್ತುಗಳು, ಪುರಾಣಗಳು, ರಾಮಾಯಣ, ಮಹಾಭಾರತ, ಭಗವದ್ಗೀತೆ, ಭಾಗವತ ಮೊದಲಾದ ಗ್ರಂಥಗಳು ಭಾರತೀಯ ಸಾಂಸ್ಕೃತಿ ಜೀವನವನ್ನು ರೂಪಿಸುವುದರಲ್ಲಿ ಪ್ರಮುಖ ಪಾತ್ರವನ್ನು ವಹಿಸಿವೆ.",572,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ವಿಚಾರ ಸಾಹಿತ್ಯ,ವಾಲ್ಮೀಕಿ ರಾಮಾಯಣ: ಶಾಪ ಮತ್ತು ವರ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Valmiki Ramayana sapa mattu vara
http://dli.ernet.in/kanaja/handle/2015/554080,ವೈಶಾಖ,ಚದುರಂಗ,2017-02-16T11:24:03Z,28-01-2017,16/12/2010,ಓಣೀಲಿ ಸಣ್ಣ ಕಲ್ಲೊಂದ್ನ ವದೀತ ಬತ್ತಾ ಇದ್ದ ಲಕ್ಕನ ತಲೇಲಿ ಎದ್ದೊತ್ನಿಂದ ಒಂದೇ ಇಚಾರ ಚಕ್ಕಲುಬಕ್ಕಲು ಆಕಿತ್ತು.,408,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕಾದಂಬರಿ,ವೈಶಾಖ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,Vyshakha
http://dli.ernet.in/kanaja/handle/2015/554081,ಸಾಮಾನ್ಯ ಶಸ್ತ್ರವೈದ್ಯದ ಕಾಯಿಲೆಗಳು,ಡಾ.ಎಚ್ .ಡಿ.ಚಂದ್ರಪ್ಪಗೌಡ,2017-02-16T11:24:03Z,28-01-2017,16/12/2010,ಭೂಮಿಯ ಮೇಲೆ ಜೀವ-ಜಂತುಗಳ ಉಗಮವಾಗುತ್ತಿದ್ದಂತೆಯೇ ರೋಗ ರುಜಿನಗಳೂ ಅವುಗಳ ಬೆನ್ನು ಹತ್ತಿವೆ; ವಿಕಾಸದ ಜೊತೆಗೇ ಚಿಕಿತ್ಸಾ ವಿಧಾನಗಳೂ ಮೂಡಿ ಬಂದಿವೆ.,379,ಕನ್ನಡ,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ,ಕರ್ನಾಟಕ ಸರ್ಕಾರ,ವೈದ್ಯಕೀಯ ಸಾಹಿತ್ಯ,ಸಾಮಾನ್ಯ ಶಸ್ತ್ರವೈದ್ಯದ ಕಾಯಿಲೆಗಳು,ನಿರ್ದೇಶಕರು ಕನ್ನಡ ಮತ್ತು ಸಂಸ್ಕೃತಿ ಇಲಾಖೆ ಕರ್ನಾಟಕ ಸರ್ಕಾರ,Samanya sasthra vaidyada kayilegalu
